Sector;Subsector;Consumption [kWh/year]
MAIN ACTIVITIES;Milling center;129351
AUXILIARY SERVICES;Movement systems;260181
AUXILIARY SERVICES;Compressed air;243000
AUXILIARY SERVICES;Chipboard extraction;162250
AUXILIARY SERVICES;UTA gluing area;159465
AUXILIARY SERVICES;Automatic warehouse;142814
AUXILIARY SERVICES;Pumping system;52248
AUXILIARY SERVICES;UPS Local;20991
GENERAL SERVICES;Lighting;134341
GENERAL SERVICES;UTA offices;131541
GENERAL SERVICES;Environmental heating;98847
GENERAL SERVICES;UTA canteen;62132
GENERAL SERVICES;Other general services;14784
